campagne,date,jour,variable,groupe_age,valeur
2021-2022,2021-10-22,1,ACTE(VGP),65 ans et plus,117217
2021-2022,2021-10-22,1,DOSES(J07E1),65 ans et plus,567525
2021-2022,2021-10-22,1,ACTE(VGP),moins de 65 ans,24537
2021-2022,2021-10-22,1,DOSES(J07E1),moins de 65 ans,111876
2021-2022,2021-10-23,2,ACTE(VGP),65 ans et plus,42728
2021-2022,2021-10-23,2,DOSES(J07E1),65 ans et plus,234990
2021-2022,2021-10-23,2,ACTE(VGP),moins de 65 ans,12205
2021-2022,2021-10-23,2,DOSES(J07E1),moins de 65 ans,54861
2021-2022,2021-10-24,3,ACTE(VGP),65 ans et plus,351
2021-2022,2021-10-24,3,DOSES(J07E1),65 ans et plus,2005
2021-2022,2021-10-24,3,ACTE(VGP),moins de 65 ans,167
2021-2022,2021-10-24,3,DOSES(J07E1),moins de 65 ans,668
2021-2022,2021-10-25,4,ACTE(VGP),65 ans et plus,110893
2021-2022,2021-10-25,4,DOSES(J07E1),65 ans et plus,385369
2021-2022,2021-10-25,4,ACTE(VGP),moins de 65 ans,21386
2021-2022,2021-10-25,4,DOSES(J07E1),moins de 65 ans,77941
2021-2022,2021-10-26,5,ACTE(VGP),65 ans et plus,184509
2021-2022,2021-10-26,5,DOSES(J07E1),65 ans et plus,604048
2021-2022,2021-10-26,5,ACTE(VGP),moins de 65 ans,37721
2021-2022,2021-10-26,5,DOSES(J07E1),moins de 65 ans,121794
2021-2022,2021-10-27,6,ACTE(VGP),65 ans et plus,127418
2021-2022,2021-10-27,6,DOSES(J07E1),65 ans et plus,406922
2021-2022,2021-10-27,6,ACTE(VGP),moins de 65 ans,26888
2021-2022,2021-10-27,6,DOSES(J07E1),moins de 65 ans,86346
2021-2022,2021-10-28,7,ACTE(VGP),65 ans et plus,115587
2021-2022,2021-10-28,7,DOSES(J07E1),65 ans et plus,344925
2021-2022,2021-10-28,7,ACTE(VGP),moins de 65 ans,24361
2021-2022,2021-10-28,7,DOSES(J07E1),moins de 65 ans,74740
2021-2022,2021-10-29,8,ACTE(VGP),65 ans et plus,102452
