date,groupe_age,campagne,DOSES(J07E1),ACTE(VGP),annee,mois,jour_semaine,semaine_annee,DOSES(J07E1)_campagne,ACTE(VGP)_campagne,UNIVERS,PHARMACIES,POURCENTAGE
2021-10-22,65 ans et plus,2021-2022,567525,117217,2021,10,4,42,,,,,
2021-10-22,moins de 65 ans,2021-2022,111876,24537,2021,10,4,42,,,,,
2021-10-23,65 ans et plus,2021-2022,234990,42728,2021,10,5,42,,,,,
2021-10-23,moins de 65 ans,2021-2022,54861,12205,2021,10,5,42,,,,,
2021-10-24,65 ans et plus,2021-2022,2005,351,2021,10,6,42,,,,,
2021-10-24,moins de 65 ans,2021-2022,668,167,2021,10,6,42,,,,,
2021-10-25,65 ans et plus,2021-2022,385369,110893,2021,10,0,43,,,,,
2021-10-25,moins de 65 ans,2021-2022,77941,21386,2021,10,0,43,,,,,
2021-10-26,65 ans et plus,2021-2022,604048,184509,2021,10,1,43,,,,,
2021-10-26,moins de 65 ans,2021-2022,121794,37721,2021,10,1,43,,,,,
2021-10-27,65 ans et plus,2021-2022,406922,127418,2021,10,2,43,,,,,
2021-10-27,moins de 65 ans,2021-2022,86346,26888,2021,10,2,43,,,,,
2021-10-28,65 ans et plus,2021-2022,344925,115587,2021,10,3,43,,,,,
2021-10-28,moins de 65 ans,2021-2022,74740,24361,2021,10,3,43,,,,,
2021-10-29,65 ans et plus,2021-2022,303682,102452,2021,10,4,43,,,,,
2021-10-29,moins de 65 ans,2021-2022,72756,24371,2021,10,4,43,,,,,
2021-10-30,65 ans et plus,2021-2022,141989,35504,2021,10,5,43,,,,,
2021-10-30,moins de 65 ans,2021-2022,44674,14001,2021,10,5,43,,,,,
2021-10-31,65 ans et plus,2021-2022,1500,464,2021,10,6,43,,,,,
2021-10-31,moins de 65 ans,2021-2022,579,172,2021,10,6,43,,,,,
2021-11-01,65 ans et plus,2021-2022,2401,852,2021,11,0,44,,,,,
2021-11-01,moins de 65 ans,2021-2022,854,313,2021,11,0,44,,,,,
2021-11-02,65 ans et plus,2021-2022,399202,151892,2021,11,1,44,,,,,
2021-11-02,moins de 65 ans,2021-2022,82752,28909,2021,11,1,44,,,,,
2021-11-03,65 ans et plus,2021-2022,337307,132283,2021,11,2,44,,,,,
2021-11-03,moins de 65 ans,2021-2022,73352,25122,2021,11,2,44,,,,,
2021-11-04,65 ans et plus,2021-2022,306386,124827,2021,11,3,44,,,,,
2021-11-04,moins de 65 ans,2021-2022,68462,24211,2021,11,3,44,,,,,
2021-11-05,65 ans et plus,2021-2022,287367,120242,2021,11,4,44,,,,,
2021-11-05,moins de 65 ans,2021-2022,70877,26376,2021,11,4,44,,,,,
2021-11-06,65 ans et plus,2021-2022,134290,41072,2021,11,5,44,,,,,
2021-11-06,moins de 65 ans,2021-2022,45852,15313,2021,11,5,44,,,,,
2021-11-07,65 ans et plus,2021-2022,1257,515,2021,11,6,44,,,,,
2021-11-07,moins de 65 ans,2021-2022,534,163,2021,11,6,44,,,,,
2021-11-08,65 ans et plus,2021-2022,290012,131120,2021,11,0,45,,,,,
2021-11-08,moins de 65 ans,2021-2022,68898,25307,2021,11,0,45,,,,,
2021-11-09,65 ans et plus,2021-2022,307027,144903,2021,11,1,45,,,,,
2021-11-09,moins de 65 ans,2021-2022,69824,25984,2021,11,1,45,,,,,
2021-11-10,65 ans et plus,2021-2022,268875,125243,2021,11,2,45,,,,,
2021-11-10,moins de 65 ans,2021-2022,71699,26073,2021,11,2,45,,,,,
2021-11-11,65 ans et plus,2021-2022,2678,1078,2021,11,3,45,,,,,
2021-11-11,moins de 65 ans,2021-2022,1196,408,2021,11,3,45,,,,,
2021-11-12,65 ans et plus,2021-2022,261935,126354,2021,11,4,45,,,,,
2021-11-12,moins de 65 ans,2021-2022,70635,28142,2021,11,4,45,,,,,
2021-11-13,65 ans et plus,2021-2022,101066,35947,2021,11,5,45,,,,,
2021-11-13,moins de 65 ans,2021-2022,36667,12773,2021,11,5,45,,,,,
2021-11-14,65 ans et plus,2021-2022,1064,360,2021,11,6,45,,,,,
2021-11-14,moins de 65 ans,2021-2022,586,213,2021,11,6,45,,,,,
2021-11-15,65 ans et plus,2021-2022,230292,117396,2021,11,0,46,,,,,
2021-11-15,moins de 65 ans,2021-2022,61887,23842,2021,11,0,46,,,,,
2021-11-16,65 ans et plus,2021-2022,240472,125888,2021,11,1,46,,,,,
2021-11-16,moins de 65 ans,2021-2022,64631,24456,2021,11,1,46,,,,,
