region,code,variable,groupe,valeur
11 - ILE-DE-France,11,ACTE(VGP),moins de 65 ans,262
11 - ILE-DE-France,11,DOSES(J07E1),moins de 65 ans,425
24 - CENTRE-VAL-DE-LOIRE,24,ACTE(VGP),moins de 65 ans,293
24 - CENTRE-VAL-DE-LOIRE,24,DOSES(J07E1),moins de 65 ans,521
27 - BOURGOGNE-FRANCHE-COMTE,27,ACTE(VGP),moins de 65 ans,232
27 - BOURGOGNE-FRANCHE-COMTE,27,DOSES(J07E1),moins de 65 ans,473
28 - NORMANDIE,28,ACTE(VGP),moins de 65 ans,327
28 - NORMANDIE,28,DOSES(J07E1),moins de 65 ans,578
32 - HAUTS-DE-France,32,ACTE(VGP),moins de 65 ans,259
32 - HAUTS-DE-France,32,DOSES(J07E1),moins de 65 ans,560
44 - GRAND-EST,44,ACTE(VGP),moins de 65 ans,249
44 - GRAND-EST,44,DOSES(J07E1),moins de 65 ans,478
52 - PAYS-DE-LA-LOIRE,52,ACTE(VGP),moins de 65 ans,274
52 - PAYS-DE-LA-LOIRE,52,DOSES(J07E1),moins de 65 ans,500
53 - BRETAGNE,53,ACTE(VGP),moins de 65 ans,313
53 - BRETAGNE,53,DOSES(J07E1),moins de 65 ans,578
75 - NOUVELLE-AQUITAINE,75,ACTE(VGP),moins de 65 ans,257
75 - NOUVELLE-AQUITAINE,75,DOSES(J07E1),moins de 65 ans,517
76 - OCCITANIE,76,ACTE(VGP),moins de 65 ans,242
76 - OCCITANIE,76,DOSES(J07E1),moins de 65 ans,458
84 - AUVERGNE-RHONE-ALPES,84,ACTE(VGP),moins de 65 ans,222
84 - AUVERGNE-RHONE-ALPES,84,DOSES(J07E1),moins de 65 ans,459
93 - PROVENCE-ALPES-COTES-D'AZUR,93,ACTE(VGP),moins de 65 ans,204
93 - PROVENCE-ALPES-COTES-D'AZUR,93,DOSES(J07E1),moins de 65 ans,444
94 - CORSE,94,ACTE(VGP),moins de 65 ans,89
94 - CORSE,94,DOSES(J07E1),moins de 65 ans,361
11 - ILE-DE-France,11,ACTE(VGP),65 ans et plus,3593
11 - ILE-DE-France,11,DOSES(J07E1),65 ans et plus,5403
24 - CENTRE-VAL-DE-LOIRE,24,ACTE(VGP),65 ans et plus,3388
24 - CENTRE-VAL-DE-LOIRE,24,DOSES(J07E1),65 ans et plus,5923
27 - BOURGOGNE-FRANCHE-COMTE,27,ACTE(VGP),65 ans et plus,2825
27 - BOURGOGNE-FRANCHE-COMTE,27,DOSES(J07E1),65 ans et plus,5552
28 - NORMANDIE,28,ACTE(VGP),65 ans et plus,3517
28 - NORMANDIE,28,DOSES(J07E1),65 ans et plus,5994
32 - HAUTS-DE-France,32,ACTE(VGP),65 ans et plus,2659
32 - HAUTS-DE-France,32,DOSES(J07E1),65 ans et plus,5819
44 - GRAND-EST,44,ACTE(VGP),65 ans et plus,2892
44 - GRAND-EST,44,DOSES(J07E1),65 ans et plus,5462
52 - PAYS-DE-LA-LOIRE,52,ACTE(VGP),65 ans et plus,3164
52 - PAYS-DE-LA-LOIRE,52,DOSES(J07E1),65 ans et plus,5793
53 - BRETAGNE,53,ACTE(VGP),65 ans et plus,3305
53 - BRETAGNE,53,DOSES(J07E1),65 ans et plus,6068
75 - NOUVELLE-AQUITAINE,75,ACTE(VGP),65 ans et plus,3019
75 - NOUVELLE-AQUITAINE,75,DOSES(J07E1),65 ans et plus,5833
76 - OCCITANIE,76,ACTE(VGP),65 ans et plus,3030
76 - OCCITANIE,76,DOSES(J07E1),65 ans et plus,5631
84 - AUVERGNE-RHONE-ALPES,84,ACTE(VGP),65 ans et plus,2758
84 - AUVERGNE-RHONE-ALPES,84,DOSES(J07E1),65 ans et plus,5480
93 - PROVENCE-ALPES-COTES-D'AZUR,93,ACTE(VGP),65 ans et plus,2719
93 - PROVENCE-ALPES-COTES-D'AZUR,93,DOSES(J07E1),65 ans et plus,5432
94 - CORSE,94,ACTE(VGP),65 ans et plus,1195
94 - CORSE,94,DOSES(J07E1),65 ans et plus,4356
